,eta,epsilon,sigma_init,mu,K,MSE,MAE,MASE,MAPE,CB
283,0.1,0.35,0.6,0.1,6,0.09073069203133127,0.19150135195997794,7.467061535645793,44364.34828250647,138
284,0.1,0.35,0.6,0.1,8,0.09084989842153758,0.19164670352780344,7.470790172114917,44366.42895929576,138
285,0.1,0.35,0.6,0.2,1,0.08060101509486754,0.18861025466425196,7.408130216283203,55224.69284732348,138
286,0.1,0.35,0.6,0.2,2,0.08070508145619544,0.1887315637519099,7.410368956756484,55225.252242229646,138
287,0.1,0.35,0.6,0.2,4,0.08093721292636205,0.18901176965428979,7.41566320873821,55230.606757293186,138
288,0.1,0.35,0.6,0.2,6,0.08116962974468271,0.18923478619495257,7.420132090077947,55227.34036075793,138
289,0.1,0.35,0.6,0.2,8,0.08125980341515403,0.18934827860627454,7.422767013382028,55228.895757657614,138
290,0.1,0.35,0.6,0.3,1,0.07770551204130353,0.19065871302686138,7.524763242210524,62711.29806603534,138
291,0.1,0.35,0.6,0.3,2,0.0777969689417252,0.1907648808581335,7.526634666790068,62711.64921552477,138
292,0.1,0.35,0.6,0.3,4,0.07799694950521527,0.19100516730786396,7.531063496769144,62716.412310609725,138
293,0.1,0.35,0.6,0.3,6,0.07818052795010941,0.19117819762321042,7.534223205980857,62712.60043755556,138
294,0.1,0.35,0.6,0.3,8,0.07825267855423101,0.19126585474688612,7.536095355613311,62713.894247028205,138
295,0.1,0.35,0.6,0.4,1,0.0771504949296706,0.19411080757401064,7.690437967700047,68528.2689267173,138
296,0.1,0.35,0.6,0.4,2,0.07723297484020744,0.19420433327532188,7.692031001136047,68528.04993990221,138
297,0.1,0.35,0.6,0.4,4,0.07740914041321885,0.19441130502524756,7.69578354052262,68530.78879491224,138
298,0.1,0.35,0.6,0.4,6,0.07755840500248411,0.19454785909742958,7.698090152854449,68526.45840232707,138
299,0.1,0.35,0.6,0.4,8,0.07761978988485083,0.19461769958370137,7.699476110673795,68527.66128963257,138
300,0.1,0.5,0.2,0.05,1,0.1225184411339438,0.22596293555326244,8.847007510926128,51524.23816009846,75
